0,1,2,3,4,5
163.51007,-357.8274,73.18445,73.829346,126.98271580001034,126.98271580001034
163.51007,-278.49866,78.98895,77.64441,120.84249332196747,120.84249332196747
163.51007,-262.47333,80.98938,80.7052,114.65542604645549,114.65542604645549
110.034,-276.0829,84.323425,84.09387,108.41913710747166,108.41913710747166
100.99371,-262.47333,84.89191,84.1048,102.13258104521941,102.13258104521941
95.17828,-262.47333,84.89191,84.1048,95.79637927053231,95.79637927053231
83.51453,-271.62286,84.89191,84.1048,89.41273586599242,89.41273586599242
83.51453,-264.4082,84.323425,84.09387,82.98510635416841,82.98510635416841
83.51453,-286.08502,80.98938,82.20276,76.5178050756685,76.5178050756685
69.795654,-286.08502,77.152466,81.022156,70.01557386725023,70.01557386725023
61.914246,-307.5105,73.18445,73.829346,63.4832562944098,63.4832562944098
61.914246,-286.08502,67.91547,73.00946,56.925588675443514,56.925588675443514
52.742798,-288.74133,63.78351,67.41266,50.34696131110576,50.34696131110576
46.216797,-288.74133,59.17047,54.87439,43.75112401233124,43.75112401233124
37.154724,-288.74133,51.14685,54.87439,37.14091985473641,37.14091985473641
34.749817,-301.1266,43.02484,45.87793,30.517912750474945,30.517912750474945
21.861755,-301.1266,36.11621,36.09436,23.88175517083557,23.88175517083557
21.861755,-301.1266,27.863037,26.901062,17.22875832881682,17.22875832881682
9.214233,-301.1266,19.041443,19.35852,10.547882793126394,10.547882793126394
-3.2366333,-301.1266,11.291199,13.56488,3.8094078018837925,3.8094078018837925
-5.357239,-301.1266,2.1744385,3.2675781,-3.0618317292358377,-3.0618317292358377
-14.92218,-314.37537,-7.4123535,-2.9742432,-10.547169374003355,-10.547169374003355
-14.92218,-323.84186,-16.255798,-13.6432495,-18.13681838969594,-18.13681838969594
-22.80371,-325.05524,-26.24707,-21.098389,-25.80438171559867,-25.80438171559867
-32.93701,-336.79547,-35.997864,-29.4281,-33.50934921458661,-33.50934921458661
-44.95056,-340.6106,-45.47528,-48.525146,-41.202166481460615,-41.202166481460615
-51.334473,-351.67303,-50.831665,-59.8172,-48.82999157717915,-48.82999157717915
-57.576294,-350.3722,-61.566223,-61.817688,-56.34159124749491,-56.34159124749491
-60.943176,-356.17676,-69.84125,-74.24652,-63.69151373596676,-63.69151373596676
-73.39392,-350.3722,-78.444214,-80.65234,-70.84203196472387,-70.84203196472387
-73.39392,-356.17676,-87.5282,-86.16174,-77.76215668377094,-77.76215668377094
-79.54828,-358.82214,-94.633545,-95.73761,-84.42728623725898,-84.42728623725898
-89.58325,-358.82214,-101.826355,-104.985535,-90.81882455344564,-90.81882455344564
-89.58325,-75.5365,-109.07385,-113.577576,-96.92301253225325,-96.92301253225325
-100.29602,-75.5365,-114.21155,-120.12543,-102.72877962059566,-102.72877962059566
-105.838135,-77.54785,-121.16394,-122.31171,-108.22715014937229,-108.22715014937229
-105.838135,-86.763,-125.875305,-124.59631,-113.41117041908336,-113.41117041908336
-105.94751,-86.763,-131.20978,-135.94312,-118.27524750378845,-118.27524750378845
-117.29419,-86.763,-136.36938,-136.7301,-122.8152800866972,-122.8152800866972
-117.65497,-86.763,-139.70343,-141.23383,-127.02925360107021,-127.02925360107021
-122.23517,-94.45862,-143.09216,-144.28369,-130.91808972310275,-130.91808972310275
-122.23517,-98.546936,-145.39862,-150.52551,-134.48558238476824,-134.48558238476824
-126.990295,-100.27411,-149.31207,-151.21411,-137.738129843702,-137.738129843702
-135.59326,-100.27411,-149.31207,-153.58624,-140.6848439014955,-140.6848439014955
-147.2898,-110.26538,-153.07251,-156.84381,-143.33762186138566,-143.33762186138566
-147.2898,-107.65277,-154.03442,-156.57056,-145.7113665483112,-145.7113665483112
-147.2898,-103.40045,-155.37897,-156.84381,-147.82489350210994,-147.82489350210994
-147.2898,-104.96362,-156.65796,-159.11755,-149.70100826555068,-149.70100826555068
-151.30157,-109.6532,-156.80005,-159.11755,-151.36596863296344,-151.36596863296344
-147.2898,-110.26538,-157.01868,-160.89929,-152.84836192566934,-152.84836192566934
-151.30157,-120.934326,-156.80005,-160.89929,-154.17904329903314,-154.17904329903314
-162.54993,-120.934326,-156.80005,-160.89929,-155.39130451210315,-155.39130451210315
-162.54993,-115.414,-156.80005,-160.89929,-156.51953139048055,-156.51953139048055
-171.71039,-118.092224,-156.80005,-159.11755,-157.59843240497221,-157.59843240497221
-171.71039,-115.096985,-156.80005,-160.89929,-158.66258860919896,-158.66258860919896
-171.71039,-115.096985,-156.80005,-159.11755,-159.7448354448074,-159.7448354448074
-180.20404,-115.096985,-156.80005,-160.89929,-160.87559677581348,-160.87559677581348
-179.88708,-123.32825,-156.80005,-159.11755,-162.0824931952225,-162.0824931952225
-181.23163,-129.79968,-158.81146,-160.89929,-163.3899306849299,-163.3899306849299
-179.88708,-133.00256,-158.81146,-161.6864,-164.81990338268477,-164.81990338268477
-181.23163,-144.38208,-160.39648,-162.35315,-166.39187205620567,-166.39187205620567
-181.23163,-144.38208,-160.40741,-164.65967,-168.12211047298246,-168.12211047298246
-200.45984,-146.91815,-161.82849,-162.35315,-170.02367655810852,-170.02367655810852
-192.14105,-158.34143,-165.45764,-166.6601,-172.10654656623902,-172.10654656623902
-200.45984,-158.34143,-165.62164,-172.10394,-174.37751459492512,-174.37751459492512
-200.45984,-156.46118,-169.08691,-172.10394,-176.8404450512563,-176.8404450512563
-204.20929,-158.34143,-171.12012,-172.10394,-179.49668302284744,-179.49668302284744
-211.4021,-158.34143,-174.95697,-176.80444,-182.3451645289709,-182.3451645289709
-211.4021,-168.92291,-177.29633,-177.31818,-185.38198565917526,-185.38198565917526
-211.4021,-171.776,-180.10565,-184.29242,-188.6006630663497,-188.6006630663497
-211.4021,-180.96924,-185.28711,-187.94348,-191.99240661436087,-191.99240661436087
-219.89575,-180.96924,-189.1568,-190.00952,-195.54563110744374,-195.54563110744374
-219.89575,-190.50134,-193.0921,-196.53552,-199.24548456019414,-199.24548456019414
-219.23987,-210.16687,-199.1153,-201.42181,-203.07417518315438,-203.07417518315438
-227.7226,-217.30505,-204.20929,-206.62506,-207.01046719692533,-207.01046719692533
-227.7226,-219.39288,-206.20972,-210.57135,-211.02953376905143,-211.02953376905143
-227.7226,-231.75629,-213.81793,-214.60498,-215.10248174692475,-215.10248174692475
-227.7226,-241.23376,-217.96094,-219.49127,-219.19610318862115,-219.19610318862115
-227.7226,-249.8039,-223.9403,-224.51971,-223.27278098725944,-223.27278098725944
-229.25299,-258.88788,-228.84851,-231.20972,-227.2912141360619,-227.2912141360619
-227.7226,-274.96783,-234.28143,-234.08466,-231.20665458761627,-231.20665458761627
-229.25299,-287.07977,-238.75232,-240.46857,-234.97071555782736,-234.97071555782736
-234.37982,-292.54547,-244.40381,-244.85205,-238.53232480933994,-238.53232480933994
-234.37982,-301.1266,-249.36664,-249.13708,-241.8384092218821,-241.8384092218821
-234.37982,-314.69232,-254.43878,-253.62988,-244.83443253361293,-244.83443253361293
-243.11395,-327.4383,-258.28668,-259.31415,-247.46221597646556,-247.46221597646556
-234.37982,-327.4383,-262.8122,-262.2657,-249.66590839182194,-249.66590839182194
-243.11395,-327.4383,-264.5722,-267.96088,-251.39858511734403,-251.39858511734403
-243.11395,-327.4383,-267.79688,-270.83582,-252.62242804972055,-252.62242804972055
-243.11395,-327.4383,-269.95032,-273.5905,-253.3073081145438,-253.3073081145438
-243.11395,-322.32245,-271.01068,-273.5905,-253.43178901745927,-253.43178901745927
-234.37982,-315.3482,-272.94556,-275.45978,-252.98180305080885,-252.98180305080885
-229.25299,-301.1266,-272.94556,-277.99585,-251.95213311433898,-251.95213311433898
-227.7226,-284.6421,-272.94556,-277.99585,-250.34450152185602,-250.34450152185602
-227.7226,-273.87476,-271.01068,-275.45978,-248.1649973489167,-248.1649973489167
-227.7226,-268.6386,-269.95032,-272.5302,-245.42267543243446,-245.42267543243446
-227.7226,-263.1183,-264.98755,-267.96088,-242.1274665686629,-242.1274665686629
-227.7226,-253.0614,-262.8122,-267.17377,-238.28915226982585,-238.28915226982585
-219.23987,-241.44147,-258.28668,-258.8004,-233.9141573269445,-233.9141573269445
-211.4021,-236.07416,-252.98492,-257.84937,-229.00402441728943,-229.00402441728943
-219.23987,-219.13062,-248.28442,-249.13708,-223.55612991632154,-223.55612991632154
-201.73877,-213.31512,-241.11353,-241.8678,-217.5640068059022,-217.5640068059022
-211.4021,-199.0716,-234.28143,-234.08466,-211.01860638761843,-211.01860638761843
-204.20929,-185.74628,-226.5857,-227.43842,-203.91060334791626,-203.91060334791626
-192.14105,-182.2154,-216.98798,-214.60498,-196.23146946771521,-196.23146946771521
-161.76288,-177.97412,-209.5,-212.18915,-187.97460727470312,-187.97460727470312
-154.54822,-171.86346,-197.06018,-197.5412,-179.139315981766,-179.139315981766
-154.54822,-159.51099,-185.28711,-185.9867,-169.73574925698875,-169.73574925698875
-144.229,-153.69562,-174.95697,-172.10394,-159.78427312004965,-159.78427312004965
-118.04852,-149.487,-161.82849,-160.89929,-149.3128371777327,-149.3128371777327
-80.64142,-141.66016,-149.31207,-150.52551,-138.3597350382003,-138.3597350382003
-80.64142,-138.28241,-137.21112,-135.94312,-126.97385908942934,-126.97385908942934
-73.39392,-130.89282,-124.72748,-122.31171,-115.21157129263048,-115.21157129263048
-73.39392,-125.11011,-110.93219,-109.12848,-103.13398048886725,-103.13398048886725
-73.39392,-120.02704,-96.42627,-92.141235,-90.80578388382385,-90.80578388382385
-73.39392,-113.77435,-82.99164,-77.821106,-78.2937679677865,-78.2937679677865
-62.036255,-110.26538,-67.829895,-61.817688,-65.66398984537985,-65.66398984537985
-56.712708,-105.25879,-51.43286,-48.076965,-52.98160550522715,-52.98160550522715
-56.712708,-94.45862,-36.59906,-39.976868,-40.311044175430645,-40.311044175430645
-40.709167,-405.8816,-23.514221,-25.000916,-27.71696778437854,-27.71696778437854
-13.785339,-405.8816,-7.72937,-10.713623,-15.265207472059128,-15.265207472059128
-14.92218,-405.8816,3.890625,3.2675781,-3.021901251974375,-3.021901251974375
-3.2366333,-405.03986,19.609863,19.35852,8.946542634893259,8.946542634893259
-13.785339,-405.03986,31.699951,26.901062,20.574102590699166,20.574102590699166
13.28064,-400.9297,45.25482,45.87793,31.799594934848653,31.799594934848653
20.320435,-392.1081,56.852966,54.87439,42.57249106498541,42.57249106498541
163.51007,-393.4854,68.86658,67.41266,52.85283800927024,52.85283800927024
163.51007,79.87439,77.152466,80.7052,62.61352664807403,62.61352664807403
163.51007,79.87439,88.26965,89.002075,71.83895226612931,71.83895226612931
163.51007,82.91333,99.58356,98.59979,80.5206667982637,80.5206667982637
163.51007,85.76636,112.220276,107.08246,88.65746826880886,88.65746826880886
163.51007,82.91333,118.00287,117.062805,96.25411594624417,96.25411594624417
163.51007,79.87439,126.0921,126.55121,103.31742296792241,103.31742296792241
163.51007,80.147705,132.00592,134.31244,109.85405523819453,109.85405523819453
163.51007,80.147705,139.41742,139.92023,115.86864096175417,115.86864096175417
163.51007,80.147705,145.5827,144.48956,121.36398571720906,121.36398571720906
163.51007,-393.4854,150.18475,149.55072,126.3405385914847,126.3405385914847
163.51007,156.7763,154.68854,152.95038,130.79645373606084,130.79645373606084
163.51007,156.7763,156.36102,156.99506,134.7276663234105,134.7276663234105
163.51007,-374.33374,160.49298,159.91364,138.12817232192668,138.12817232192668
163.51007,-374.33374,163.51007,161.37848,140.99037816319125,140.99037816319125
163.51007,-374.33374,163.51007,162.08905,143.30735909487862,143.30735909487862
163.51007,-260.34174,163.51007,161.96869,145.07389294482132,145.07389294482132
146.70856,-370.71545,163.51007,160.91937,146.28767225843077,146.28767225843077
146.70856,-370.71545,163.51007,160.91937,146.95131394114125,146.95131394114125
163.51007,-264.01465,160.35089,160.91937,147.07423805248058,147.07423805248058
146.70856,-256.76715,160.49298,159.91364,146.6752138165847,146.6752138165847
142.54376,-257.68542,156.1424,155.06012,145.7856623517604,145.7856623517604
146.70856,-363.4571,154.68854,152.95038,144.44710845444786,144.44710845444786
