0,1,2,3,4,5
-535.0427102384897,-535.0427102384897,-535.0427102384897,-535.0427102384897,-535.0427102384897,-535.0427102384897
-535.6617534745332,-535.6617534745332,-535.6617534745332,-535.6617534745332,-535.6617534745332,-535.6617534745332
-535.6608459289972,-535.6608459289972,-535.6608459289972,-535.6608459289972,-535.6608459289972,-535.6608459289972
-535.0526084719257,-535.0526084719257,-535.0526084719257,-535.0526084719257,-535.0526084719257,-535.0526084719257
-533.851990290464,-533.851990290464,-533.851990290464,-533.851990290464,-533.851990290464,-533.851990290464
-532.0762247874612,-532.0762247874612,-532.0762247874612,-532.0762247874612,-532.0762247874612,-532.0762247874612
-529.744777236066,-529.744777236066,-529.744777236066,-529.744777236066,-529.744777236066,-529.744777236066
-526.8792843525782,-526.8792843525782,-526.8792843525782,-526.8792843525782,-526.8792843525782,-526.8792843525782
-523.5034859788799,-523.5034859788799,-523.5034859788799,-523.5034859788799,-523.5034859788799,-523.5034859788799
-519.6431490941684,-519.6431490941684,-519.6431490941684,-519.6431490941684,-519.6431490941684,-519.6431490941684
-515.3259844034014,-515.3259844034014,-515.3259844034014,-515.3259844034014,-515.3259844034014,-515.3259844034014
-510.58155577668487,-510.58155577668487,-510.58155577668487,-510.58155577668487,-510.58155577668487,-510.58155577668487
-505.4411828397233,-505.4411828397233,-505.4411828397233,-505.4411828397233,-505.4411828397233,-505.4411828397233
-499.9378370403237,-499.9378370403237,-499.9378370403237,-499.9378370403237,-499.9378370403237,-499.9378370403237
-494.10603153967054,-494.10603153967054,-494.10603153967054,-494.10603153967054,-494.10603153967054,-494.10603153967054
-487.9817052996218,-487.9817052996218,-487.9817052996218,-487.9817052996218,-487.9817052996218,-487.9817052996218
-481.6021017585227,-481.6021017585227,-481.6021017585227,-481.6021017585227,-481.6021017585227,-481.6021017585227
-475.00564250790035,-475.00564250790035,-475.00564250790035,-475.00564250790035,-475.00564250790035,-475.00564250790035
-468.2317964008415,-468.2317964008415,-468.2317964008415,-468.2317964008415,-468.2317964008415,-468.2317964008415
-461.320944539783,-461.320944539783,-461.320944539783,-461.320944539783,-461.320944539783,-461.320944539783
-454.3142416068115,-454.3142416068115,-454.3142416068115,-454.3142416068115,-454.3142416068115,-454.3142416068115
-447.2534740132939,-447.2534740132939,-447.2534740132939,-447.2534740132939,-447.2534740132939,-447.2534740132939
-440.18091535774164,-440.18091535774164,-440.18091535774164,-440.18091535774164,-440.18091535774164,-440.18091535774164
-433.1391796911346,-433.1391796911346,-433.1391796911346,-433.1391796911346,-433.1391796911346,-433.1391796911346
-426.17107309753703,-426.17107309753703,-426.17107309753703,-426.17107309753703,-426.17107309753703,-426.17107309753703
-419.31944410461796,-419.31944410461796,-419.31944410461796,-419.31944410461796,-419.31944410461796,-419.31944410461796
-412.62703344368265,-412.62703344368265,-412.62703344368265,-412.62703344368265,-412.62703344368265,-412.62703344368265
-406.13632368196124,-406.13632368196124,-406.13632368196124,-406.13632368196124,-406.13632368196124,-406.13632368196124
-399.8893892512024,-399.8893892512024,-399.8893892512024,-399.8893892512024,-399.8893892512024,-399.8893892512024
-393.92774739607023,-393.92774739607023,-393.92774739607023,-393.92774739607023,-393.92774739607023,-393.92774739607023
-388.29221056342476,-388.29221056342476,-388.29221056342476,-388.29221056342476,-388.29221056342476,-388.29221056342476
-383.0227407493293,-383.0227407493293,-383.0227407493293,-383.0227407493293,-383.0227407493293,-383.0227407493293
-378.1583063145289,-378.1583063145289,-378.1583063145289,-378.1583063145289,-378.1583063145289,-378.1583063145289
-373.7367417712534,-373.7367417712534,-373.7367417712534,-373.7367417712534,-373.7367417712534,-373.7367417712534
-369.7946110345217,-369.7946110345217,-369.7946110345217,-369.7946110345217,-369.7946110345217,-369.7946110345217
-366.3670746196739,-366.3670746196739,-366.3670746196739,-366.3670746196739,-366.3670746196739,-366.3670746196739
-363.48776125473273,-363.48776125473273,-363.48776125473273,-363.48776125473273,-363.48776125473273,-363.48776125473273
-361.1886443613588,-361.1886443613588,-361.1886443613588,-361.1886443613588,-361.1886443613588,-361.1886443613588
-359.49992384175425,-359.49992384175425,-359.49992384175425,-359.49992384175425,-359.49992384175425,-359.49992384175425
-358.4499135908649,-358.4499135908649,-358.4499135908649,-358.4499135908649,-358.4499135908649,-358.4499135908649
-358.0649351337595,-358.0649351337595,-358.0649351337595,-358.0649351337595,-358.0649351337595,-358.0649351337595
-358.3692177671436,-358.3692177671436,-358.3692177671436,-358.3692177671436,-358.3692177671436,-358.3692177671436
-359.3848055617073,-359.3848055617073,-359.3848055617073,-359.3848055617073,-359.3848055617073,-359.3848055617073
-361.1314715584606,-361.1314715584606,-361.1314715584606,-361.1314715584606,-361.1314715584606,-361.1314715584606
-363.6266394674765,-363.6266394674765,-363.6266394674765,-363.6266394674765,-363.6266394674765,-363.6266394674765
-366.88531315162646,-366.88531315162646,-366.88531315162646,-366.88531315162646,-366.88531315162646,-366.88531315162646
-370.9200141510287,-370.9200141510287,-370.9200141510287,-370.9200141510287,-370.9200141510287,-370.9200141510287
-375.7407274761635,-375.7407274761635,-375.7407274761635,-375.7407274761635,-375.7407274761635,-375.7407274761635
-381.3548558690073,-381.3548558690073,-381.3548558690073,-381.3548558690073,-381.3548558690073,-381.3548558690073
-387.76718270222216,-387.76718270222216,-387.76718270222216,-387.76718270222216,-387.76718270222216,-387.76718270222216
-394.9798436564961,-394.9798436564961,-394.9798436564961,-394.9798436564961,-394.9798436564961,-394.9798436564961
-402.99230728568665,-402.99230728568665,-402.99230728568665,-402.99230728568665,-402.99230728568665,-402.99230728568665
-411.8013645485687,-411.8013645485687,-411.8013645485687,-411.8013645485687,-411.8013645485687,-411.8013645485687
-421.40112735483234,-421.40112735483234,-421.40112735483234,-421.40112735483234,-421.40112735483234,-421.40112735483234
-431.78303614165776,-431.78303614165776,-431.78303614165776,-431.78303614165776,-431.78303614165776,-431.78303614165776
-442.9358764657776,-442.9358764657776,-442.9358764657776,-442.9358764657776,-442.9358764657776,-442.9358764657776
-454.84580456457536,-454.84580456457536,-454.84580456457536,-454.84580456457536,-454.84580456457536,-454.84580456457536
-467.4963818085471,-467.4963818085471,-467.4963818085471,-467.4963818085471,-467.4963818085471,-467.4963818085471
-480.86861793649126,-480.86861793649126,-480.86861793649126,-480.86861793649126,-480.86861793649126,-480.86861793649126
-494.9410229342077,-494.9410229342077,-494.9410229342077,-494.9410229342077,-494.9410229342077,-494.9410229342077
-509.6896673873599,-509.6896673873599,-509.6896673873599,-509.6896673873599,-509.6896673873599,-509.6896673873599
-525.0882511096383,-525.0882511096383,-525.0882511096383,-525.0882511096383,-525.0882511096383,-525.0882511096383
-541.1081798185056,-541.1081798185056,-541.1081798185056,-541.1081798185056,-541.1081798185056,-541.1081798185056
-557.7186496027756,-557.7186496027756,-557.7186496027756,-557.7186496027756,-557.7186496027756,-557.7186496027756
-574.8867388990852,-574.8867388990852,-574.8867388990852,-574.8867388990852,-574.8867388990852,-574.8867388990852
-592.5775076681821,-592.5775076681821,-592.5775076681821,-592.5775076681821,-592.5775076681821,-592.5775076681821
-610.7541034368232,-610.7541034368232,-610.7541034368232,-610.7541034368232,-610.7541034368232,-610.7541034368232
-629.3778738471747,-629.3778738471747,-629.3778738471747,-629.3778738471747,-629.3778738471747,-629.3778738471747
-648.4084853329207,-648.4084853329207,-648.4084853329207,-648.4084853329207,-648.4084853329207,-648.4084853329207
-667.8040475199488,-667.8040475199488,-667.8040475199488,-667.8040475199488,-667.8040475199488,-667.8040475199488
-687.5212429295566,-687.5212429295566,-687.5212429295566,-687.5212429295566,-687.5212429295566,-687.5212429295566
-707.5154615436606,-707.5154615436606,-707.5154615436606,-707.5154615436606,-707.5154615436606,-707.5154615436606
-727.7409397745961,-727.7409397745961,-727.7409397745961,-727.7409397745961,-727.7409397745961,-727.7409397745961
-748.1509033667808,-748.1509033667808,-748.1509033667808,-748.1509033667808,-748.1509033667808,-748.1509033667808
-768.6977137438874,-768.6977137438874,-768.6977137438874,-768.6977137438874,-768.6977137438874,-768.6977137438874
-789.3330173032251,-789.3330173032251,-789.3330173032251,-789.3330173032251,-789.3330173032251,-789.3330173032251
-810.0078971488412,-810.0078971488412,-810.0078971488412,-810.0078971488412,-810.0078971488412,-810.0078971488412
-830.6730267464662,-830.6730267464662,-830.6730267464662,-830.6730267464662,-830.6730267464662,-830.6730267464662
-851.2788249768289,-851.2788249768289,-851.2788249768289,-851.2788249768289,-851.2788249768289,-851.2788249768289
-871.7756120591162,-871.7756120591162,-871.7756120591162,-871.7756120591162,-871.7756120591162,-871.7756120591162
-892.1137658134737,-892.1137658134737,-892.1137658134737,-892.1137658134737,-892.1137658134737,-892.1137658134737
-912.243877730398,-912.243877730398,-912.243877730398,-912.243877730398,-912.243877730398,-912.243877730398
-932.1169083157174,-932.1169083157174,-932.1169083157174,-932.1169083157174,-932.1169083157174,-932.1169083157174
-951.684341182556,-951.684341182556,-951.684341182556,-951.684341182556,-951.684341182556,-951.684341182556
-970.8983353662406,-970.8983353662406,-970.8983353662406,-970.8983353662406,-970.8983353662406,-970.8983353662406
-989.7118753444921,-989.7118753444921,-989.7118753444921,-989.7118753444921,-989.7118753444921,-989.7118753444921
-1008.0789182534629,-1008.0789182534629,-1008.0789182534629,-1008.0789182534629,-1008.0789182534629,-1008.0789182534629
-1025.9545378001721,-1025.9545378001721,-1025.9545378001721,-1025.9545378001721,-1025.9545378001721,-1025.9545378001721
-1043.2950643836314,-1043.2950643836314,-1043.2950643836314,-1043.2950643836314,-1043.2950643836314,-1043.2950643836314
-1060.0582209504123,-1060.0582209504123,-1060.0582209504123,-1060.0582209504123,-1060.0582209504123,-1060.0582209504123
-1076.2032541255055,-1076.2032541255055,-1076.2032541255055,-1076.2032541255055,-1076.2032541255055,-1076.2032541255055
-1091.6910601760476,-1091.6910601760476,-1091.6910601760476,-1091.6910601760476,-1091.6910601760476,-1091.6910601760476
-1106.4843053837444,-1106.4843053837444,-1106.4843053837444,-1106.4843053837444,-1106.4843053837444,-1106.4843053837444
-1120.5475404215574,-1120.5475404215574,-1120.5475404215574,-1120.5475404215574,-1120.5475404215574,-1120.5475404215574
-1133.8473083513777,-1133.8473083513777,-1133.8473083513777,-1133.8473083513777,-1133.8473083513777,-1133.8473083513777
-1146.3522458818852,-1146.3522458818852,-1146.3522458818852,-1146.3522458818852,-1146.3522458818852,-1146.3522458818852
-1158.0331775495342,-1158.0331775495342,-1158.0331775495342,-1158.0331775495342,-1158.0331775495342,-1158.0331775495342
-1168.8632025105019,-1168.8632025105019,-1168.8632025105019,-1168.8632025105019,-1168.8632025105019,-1168.8632025105019
-1178.8177736574385,-1178.8177736574385,-1178.8177736574385,-1178.8177736574385,-1178.8177736574385,-1178.8177736574385
-1187.8747688018102,-1187.8747688018102,-1187.8747688018102,-1187.8747688018102,-1187.8747688018102,-1187.8747688018102
