0,1,2,3,4,5
-330.9685106040592,-330.9685106040592,-330.9685106040592,-330.9685106040592,-330.9685106040592,-330.9685106040592
-601.1335918916302,-601.1335918916302,-601.1335918916302,-601.1335918916302,-601.1335918916302,-601.1335918916302
-413.91925648770547,-413.91925648770547,-413.91925648770547,-413.91925648770547,-413.91925648770547,-413.91925648770547
-510.7976916820306,-510.7976916820306,-510.7976916820306,-510.7976916820306,-510.7976916820306,-510.7976916820306
-556.7034872291202,-556.7034872291202,-556.7034872291202,-556.7034872291202,-556.7034872291202,-556.7034872291202
-771.4876335375276,-771.4876335375276,-771.4876335375276,-771.4876335375276,-771.4876335375276,-771.4876335375276
-581.5909070635528,-581.5909070635528,-581.5909070635528,-581.5909070635528,-581.5909070635528,-581.5909070635528
-593.5165472926157,-593.5165472926157,-593.5165472926157,-593.5165472926157,-593.5165472926157,-593.5165472926157
-405.21113521130286,-405.21113521130286,-405.21113521130286,-405.21113521130286,-405.21113521130286,-405.21113521130286
-636.3376185776697,-636.3376185776697,-636.3376185776697,-636.3376185776697,-636.3376185776697,-636.3376185776697
-624.8415795116226,-624.8415795116226,-624.8415795116226,-624.8415795116226,-624.8415795116226,-624.8415795116226
-546.4485210641675,-546.4485210641675,-546.4485210641675,-546.4485210641675,-546.4485210641675,-546.4485210641675
-608.3574844711848,-608.3574844711848,-608.3574844711848,-608.3574844711848,-608.3574844711848,-608.3574844711848
-448.4659643725176,-448.4659643725176,-448.4659643725176,-448.4659643725176,-448.4659643725176,-448.4659643725176
-502.5932571323651,-502.5932571323651,-502.5932571323651,-502.5932571323651,-502.5932571323651,-502.5932571323651
-453.89758520873255,-453.89758520873255,-453.89758520873255,-453.89758520873255,-453.89758520873255,-453.89758520873255
-545.5970924977214,-545.5970924977214,-545.5970924977214,-545.5970924977214,-545.5970924977214,-545.5970924977214
-447.9740949864933,-447.9740949864933,-447.9740949864933,-447.9740949864933,-447.9740949864933,-447.9740949864933
-430.0513311452754,-430.0513311452754,-430.0513311452754,-430.0513311452754,-430.0513311452754,-430.0513311452754
-391.04979890738997,-391.04979890738997,-391.04979890738997,-391.04979890738997,-391.04979890738997,-391.04979890738997
-497.963747526441,-497.963747526441,-497.963747526441,-497.963747526441,-497.963747526441,-497.963747526441
-407.25728175961257,-407.25728175961257,-407.25728175961257,-407.25728175961257,-407.25728175961257,-407.25728175961257
-343.04084112320277,-343.04084112320277,-343.04084112320277,-343.04084112320277,-343.04084112320277,-343.04084112320277
-538.9415091356894,-538.9415091356894,-538.9415091356894,-538.9415091356894,-538.9415091356894,-538.9415091356894
-513.9529548898504,-513.9529548898504,-513.9529548898504,-513.9529548898504,-513.9529548898504,-513.9529548898504
-368.0814366189094,-368.0814366189094,-368.0814366189094,-368.0814366189094,-368.0814366189094,-368.0814366189094
-385.98406193295506,-385.98406193295506,-385.98406193295506,-385.98406193295506,-385.98406193295506,-385.98406193295506
-388.2341341889779,-388.2341341889779,-388.2341341889779,-388.2341341889779,-388.2341341889779,-388.2341341889779
